year,state,age_group,gender,value,unit,note
2016,All India,80 years and above,Female,5072,value in Thousands,
2016,All India,80 years and above,Male,4501,value in Thousands,
2016,All India,80 years and above,Person,9573,value in Thousands,
2021,All India,80 years and above,Female,7968,value in Thousands,
2021,All India,80 years and above,Male,6643,value in Thousands,
2021,All India,80 years and above,Person,14611,value in Thousands,
2026,All India,80 years and above,Female,10437,value in Thousands,
2026,All India,80 years and above,Male,8190,value in Thousands,
2026,All India,80 years and above,Person,18626,value in Thousands,
2031,All India,80 years and above,Female,13219,value in Thousands,
2031,All India,80 years and above,Male,9852,value in Thousands,
2031,All India,80 years and above,Person,23071,value in Thousands,
2036,All India,80 years and above,Female,15933,value in Thousands,
2036,All India,80 years and above,Male,11603,value in Thousands,
2036,All India,80 years and above,Person,27536,value in Thousands,
2011,All India,Total,Female,587585,value in Thousands,
2011,All India,Total,Male,623270,value in Thousands,
2011,All India,Total,Person,1210855,value in Thousands,
2016,All India,Total,Female,626889,value in Thousands,
2016,All India,Total,Male,663346,value in Thousands,
2016,All India,Total,Person,1290235,value in Thousands,
2021,All India,Total,Female,662384,value in Thousands,
2021,All India,Total,Male,698959,value in Thousands,
2021,All India,Total,Person,1361343,value in Thousands,
2026,All India,Total,Female,729604,value in Thousands,
2026,All India,Total,Male,1423435,value in Thousands,
2026,All India,Total,Person,742586,value in Thousands,
2031,All India,Total,Female,754893,value in Thousands,
2031,All India,Total,Male,1475519,value in Thousands,
2031,All India,Total,Person,693831,value in Thousands,
2036,All India,Total,Female,775702,value in Thousands,
2036,All India,Total,Male,1518288,value in Thousands,
2036,All India,Total,Person,720626,value in Thousands,
